"geoid","race_white","race_black","race_aian","race_asian","race_nhpi","race_hispanic","below_poverty","unemployed","housing_burden","no_vehicle","living_alone","crowded_housing","internet"
440070033001,0.777035236938032,0.0522478736330498,0,0.023086269744836,0,0.0911300121506683,0.152490886998785,0,0.474226804123711,0.0147991543340381,0.42014742014742,0,0.991400491400491
440070033002,0.789887640449438,0.0314606741573034,0,0.102247191011236,0,0,0.0865168539325843,0.109034267912773,0.302083333333333,0,0.28604118993135,0,1
440070033003,0.895783611774065,0.0310262529832936,0,0.00954653937947494,0,0.0373906125696102,0.00715990453460621,0.124624624624625,0.422222222222222,0.171171171171171,0.443609022556391,0,0.881578947368421
440070033004,0.656805701180237,0.187709927532936,0,0.0460159710588114,0,0.0358732597216056,0.148773738179674,0.00161245442049928,0.0586413927261475,0.0650592161085633,0.430692728832542,0.00306904286960179,0.973955334459566
440070034001,0.847715745985731,0,0,0.0000000070753174047426,0,0.0355329963656013,0.0284264224288557,0.0985221439722157,0.00000112004677627122,0,0.00279337224322808,0.0378787782285652,0.849162053680545
440070034002,0.579419889502762,0.00207182320441989,0.00207182320441989,0.31767955801105,0,0.0987569060773481,0.0469613259668508,0,0.346938775510204,0.123397435897436,0.369150779896014,0,0.977469670710572
440070034003,0.780182232346242,0.0250569476082005,0,0.107061503416856,0,0,0.0250569476082005,0.041044776119403,0.478260869565217,0.0659340659340659,0.239010989010989,0,0.903846153846154
440070034004,0.810483870967742,0,0,0,0,0.164746543778802,0.0097926267281106,0.0320962888665998,0.219435736677116,0.0348692403486924,0.250311332503113,0,1
440070035001,0.849425287356322,0,0,0,0,0.0850574712643678,0.194252873563218,0,0.864197530864198,0.00854700854700855,0.403846153846154,0,0.961538461538462
440070035002,0.665822784810127,0.111392405063291,0,0.0924050632911392,0,0.0575949367088608,0.35126582278481,0.0582822085889571,0.529695024077046,0.336578581363004,0.41037037037037,0,0.885925925925926
440070035003,0.635135135135135,0,0,0.362162162162162,0,0.0027027027027027,0.125675675675676,0,0.61747572815534,0.539432176656152,0.782334384858044,0,0.917981072555205
440070035004,0.800170029728174,0.0000347250914969064,0.000000000502288383186914,0.14041962283635,0,0.0545849450766201,0.110832775241151,0.00640982376148737,0.378920383701362,0.0188350147380599,0.27154166701893,0,0.934874327984036
440070036011,0.457643622200584,0.0506329113924051,0.000973709834469328,0.373904576436222,0,0.0837390457643622,0.1587147030185,0.05,0.424,0.229074889867841,0.547738693467337,0,1
440070036012,0.654411325921543,0.0498025546824437,0.0000000053914329730569,0.167091413191211,0,0.103726895146343,0.099482328864935,0.174449084038361,0.636510303591311,0.0911188081619381,0.593256078440761,0,0.955184000382502
440070036021,0.605946556352286,0.0850583281803292,0.00263454675635576,0.160707580162873,0,0.0937147084633595,0.00263461774532413,0.102648961845337,0.00000634079093800224,0.000000353388535295766,0.20987670851242,0,0.999999805949188
440070036022,0.679451603947134,0.00509774844081996,0,0.212982610266042,0,0.0334720601815965,0.113592927649756,0.00845273853300888,0.364541373982027,0.0331010202984029,0.45903830575027,0,0.962277490215345
