placekey,parent_placekey,location_name,top_category,latitude,longitude,street_address,city,region,postal_code,poi_cbg,total_visitors,rank
zzz-222@62k-jfs-gkz,,Perna,Public Parks and Beaches,41.743987,-71.294512,Perna,Barrington,RI,02806,440010303001,67,4
zzy-222@62k-pzy-m49,,Tyler Point Burial Ground,Death Care Services,41.735309,-71.291241,Tyler Point Road,Barrington,RI,02806,440010303001,47,5
zzw-222@62k-jfs-m49,,Hampden Meadows,Public Parks and Beaches,41.748891,-71.300042,Hampden Meadows,Barrington,RI,02806,440010303002,207,1
zzw-222@62k-jfs-b49,,Hampden Meadows School,Elementary and Secondary Schools,41.753914,-71.302236,297 New Meadow Rd,Barrington,RI,02806,440010303002,131,2
zzw-222@62k-jfs-cqz,,Sowams Elementary School,Elementary and Secondary Schools,41.75714,-71.294529,364 Sowams Rd,Barrington,RI,02806,440010303002,102,3
zzw-222@62k-jfs-8sq,,Kent Street Park,Public Parks and Beaches,41.753756,-71.298089,Kent Street Park,Barrington,RI,02806,440010303002,72,4
228-222@62k-jfr-mhq,,Johnson Aleta MSW,Offices of Other Health Practitioners,41.750936,-71.304547,237 New Meadow Rd,Barrington,RI,02806,440010303002,58,5
zzz-222@62k-jfr-435,,Douglas Rayner Wildlife Refuge,Public Parks and Beaches,41.768303,-71.313706,Douglas Rayner Wildlife Refuge,Barrington,RI,02806,440010303003,72,1
zzw-222@62k-jfq-brk,,Hundred Acre Cove,Public Parks and Beaches,41.759574,-71.317171,Hundred Acre Cove,East Providence,RI,02806,440010303003,48,2
zzy-222@62k-jfr-wp9,,Vajradhatu,Religious Organizations,41.752404,-71.317147,17 Juniper St,Barrington,RI,02806,440010303003,38,3
zzz-222@62k-jhc-zcq,,Hundred Acre Cove Beauregard,Public Parks and Beaches,41.764718,-71.302101,Hundred Acre Cove Beauregard,Barrington,RI,02806,440010303003,38,4
zzz-222@62k-jhc-zmk,,Hundred Acre Cove Esther Hill Marsh,Public Parks and Beaches,41.766043,-71.30186,Hundred Acre Cove Esther Hill Marsh,Barrington,RI,02806,440010303003,7,5
zzw-223@62k-jfr-qs5,,Encore,Used Merchandise Stores,41.737271,-71.303038,191 County Rd,Barrington,RI,02806,440010304001,120,1
222-223@62k-pzy-y7q,,Jaffe Orthodontics,Offices of Dentists,41.736452,-71.302997,147 County Rd,Barrington,RI,02806,440010304001,89,2
222-222@62k-pzy-y7q,,McVay Physical Therapy,Offices of Other Health Practitioners,41.736454,-71.303018,147 County Rd Ste 301A,Barrington,RI,02806,440010304001,56,3
zzz-222@62k-pzy-jd9,,Shady Lane,Public Parks and Beaches,41.729477,-71.296956,Shady Lane,Barrington,RI,02806,440010304001,43,4
223-222@62k-pzy-hqz,,Rhode Island Retrofit,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers",41.726981,-71.290332,5 Blount Cir,Barrington,RI,02806,440010304001,39,5
225-222@62k-pyd-x5z,,Viewpoint Travel Ltd,Travel Arrangement and Reservation Services,41.722326,-71.307698,27 Beach Rd,Barrington,RI,02806,440010304002,46,1
zzz-222@62k-pyd-psq,,Rumstick Point,Public Parks and Beaches,41.708841,-71.302949,Papzian Marsh,Barrington,RI,02806,440010304002,32,2
zzw-222@62k-pzz-4gk,,Forest Chapel Cemetery,Death Care Services,41.727015,-71.305533,Governor Bradford Drive,Barrington,RI,02806,440010304002,30,3
zzw-222@62k-pzy-qpv,,Smiths Cove,Public Parks and Beaches,41.723468,-71.296786,Smiths Cove,Barrington,RI,02806,440010304002,20,4
225-222@62k-pzy-zcq,,Barrington Shopping Center,Shopping Center,41.736608,-71.305564,180 County Rd # 188,Barrington,RI,02806,440010304003,2304,1
zzw-222@62k-pyd-yd9,,Barrington Beach,Public Parks and Beaches,41.722731,-71.311911,Barrington Beach,Barrington,RI,02806,440010304003,970,2
zzw-222@62k-pzy-zj9,225-222@62k-pzy-zcq,Shaw's,Grocery Stores,41.736718,-71.306854,186 County Rd,Barrington,RI,02806,440010304003,777,3
zzy-222@62k-pzy-zj9,225-222@62k-pzy-zcq,Friskie Fries,Restaurants and Other Eating Places,41.736668,-71.306831,182 County Rd,Barrington,RI,02806,440010304003,729,4
225-223@62k-pzy-zpv,225-222@62k-pzy-zcq,Barrington Books,Book Stores and News Dealers,41.737079,-71.304566,184 County Rd,Barrington,RI,02806,440010304003,688,5
zzz-222@62k-pzz-j35,,Jamiel Park,Public Parks and Beaches,41.732,-71.278087,Jamiel Park,Warren,RI,02885,440010305001,268,1
228-222@62k-pzz-j5f,,Crossroad Pub Restaurant,Restaurants and Other Eating Places,41.73052,-71.27766,133 Market St,Warren,RI,02885,440010305001,258,2
225-223@62k-pzv-y35,,Crazy Computers,Electronics and Appliance Stores,41.730056,-71.276665,176 Child St,Warren,RI,02885,440010305001,250,3
22f-222@62k-pzz-hwk,,Cumberland Farms,Gasoline Stations,41.730954,-71.280579,66 Market St,Warren,RI,02885,440010305001,239,4
22f-222@62k-pzz-hyv,,Edible Arrangements,"Office Supplies, Stationery, and Gift Stores",41.730485,-71.280505,8 Turner St,Warren,RI,02885,440010305001,212,5
229-222@62k-pzz-jvz,,Tom's Market,Grocery Stores,41.729628,-71.278052,137 Child St,Warren,RI,02885,440010305002,428,1
224-222@62k-pzz-jqf,,Twigg's Automotive,"Automotive Parts, Accessories, and Tire Stores",41.72943,-71.275686,205 Child St,Warren,RI,02885,440010305002,364,2
226-222@62k-pzv-wrk,,Jack's Family Restaurant,Restaurants and Other Eating Places,41.72971,-71.272348,294 Child St,Warren,RI,02885,440010305002,309,3
226-223@62k-pzz-f4v,,La Pinata,Restaurants and Other Eating Places,41.728742,-71.281695,520 Main St,Warren,RI,02885,440010305002,291,4
224-222@62k-pzz-hyv,,Del's Lemonade of Warren,Restaurants and Other Eating Places,41.730078,-71.280466,65 Child St,Warren,RI,02885,440010305002,279,5
zzw-224@62k-pzz-grk,,Protector Boats East Coast Service,Other Motor Vehicle Dealers,41.728564,-71.28521,325 Water St,Warren,RI,02885,440010305003,978,1
226-222@62k-pzy-mp9,,The Wharf Tavern,Restaurants and Other Eating Places,41.731071,-71.286735,215 Water St,Warren,RI,02885,440010305003,907,2
229-222@62k-pzz-kcq,,Dunkin',Restaurants and Other Eating Places,41.731422,-71.283052,375 Main St,Warren,RI,02885,440010305003,487,3
22p-222@62k-pzz-k75,,Circle Of Light,Other Amusement and Recreation Industries,41.731307,-71.285094,47 Miller St,Warren,RI,02885,440010305003,463,4
228-222@62k-pzz-9mk,,Studio47 Pilates,Other Amusement and Recreation Industries,41.735763,-71.286821,99 Main St Ste 120,Warren,RI,02885,440010305003,398,5
222-222@62k-q26-kj9,,Palmer River Grille,Restaurants and Other Eating Places,41.74887,-71.272319,382 Market St,Warren,RI,02885,440010306011,604,1
224-222@62k-q26-p7q,,Sip N Dip,Restaurants and Other Eating Places,41.739524,-71.273641,309 Market St,Warren,RI,02885,440010306011,336,2
223-222@62k-pzv-jsq,,Chomp Kitchen & Drinks,Restaurants and Other Eating Places,41.72941,-71.266373,440 Child St,Warren,RI,02885,440010306011,310,3
zzw-222@62k-q26-ndv,,Swift Results Golf Center,Other Amusement and Recreation Industries,41.74172,-71.274957,326 Market St,Warren,RI,02885,440010306011,259,4
zzw-222@62k-pzw-26k,,Lucky Bait and Tackle,"Sporting Goods, Hobby, and Musical Instrument Stores",41.736441,-71.274071,289 Market St,Warren,RI,02885,440010306011,144,5
zzw-222@62k-pzv-jd9,,Kickemuit Middle School,Elementary and Secondary Schools,41.729246,-71.258865,525 Child St,Warren,RI,02885,440010306012,429,1
zzw-222@62k-pzv-ty9,,Britto Park,Public Parks and Beaches,41.725363,-71.260637,Britto Park,Warren,RI,02885,440010306012,100,2
zzz-222@62k-pzw-dqf,,Heritage Pake,Public Parks and Beaches,41.740249,-71.255684,Heritage Pake,Warren,RI,02885,440010306012,77,3
223-223@62k-pzw-bc5,,Crestwood Nursing & Conv Home Inc,Nursing Care Facilities (Skilled Nursing Facilities),41.732173,-71.255291,568 Child St,Warren,RI,02885,440010306012,66,4
222-222@62k-pzv-hh5,,Bill's Auto Repair & Towing,Support Activities for Road Transportation,41.730093,-71.260979,516 Child St,Warren,RI,02885,440010306012,63,5
zzw-222@62k-pzw-hyv,,Hugh Cole Playground,Amusement Parks and Arcades,41.726907,-71.253762,50 Asylum Rd,Warren,RI,02885,440010306013,269,1
